A,B,C,D,E,F,G,H,I,Accuracy,Recall_A,Recall_B,Recall_C,Recall,Precision_A,Precision_B,Precision_C,Precision
14618,241,93,115,12510,130,101,257,8005,0.974022734,0.977661851,0.980791846,0.957192395,0.971882031,0.985438857,0.961715867,0.972897423,0.973350716
14625,237,90,116,12509,130,101,249,8013,0.974410868,0.978130016,0.980713446,0.95814899,0.972330817,0.985379329,0.962601,0.97327827,0.973752867
14618,237,97,109,12517,129,104,251,8008,0.974299972,0.977661851,0.981340651,0.957551118,0.97218454,0.98563819,0.962475971,0.97255283,0.973555664
14621,237,94,108,12520,127,100,253,8010,0.974521763,0.977862493,0.981575853,0.957790267,0.972409538,0.98597343,0.962336664,0.973150286,0.973820127
14623,233,96,110,12519,126,100,250,8013,0.974632659,0.977996255,0.981497452,0.95814899,0.972547565,0.985842378,0.962851869,0.973041894,0.973912047
14618,242,92,113,12516,126,100,258,8005,0.974189077,0.977661851,0.98126225,0.957192395,0.972038832,0.98563819,0.961585741,0.973488994,0.973570975
14609,244,99,114,12505,136,95,255,8013,0.97385639,0.977059925,0.980399843,0.95814899,0.971869586,0.985895532,0.961627192,0.971508244,0.973010323
14619,238,95,110,12509,136,103,251,8009,0.974133629,0.977728732,0.980713446,0.957670692,0.972037623,0.985639159,0.962378828,0.971966019,0.973328002
14624,235,93,114,12515,126,96,257,8010,0.974466315,0.978063135,0.981183849,0.957790267,0.97234575,0.985843333,0.962174214,0.973386803,0.97380145
14615,244,93,110,12517,128,104,252,8007,0.974189077,0.977461209,0.981340651,0.957431544,0.972077801,0.985568818,0.96188427,0.973140496,0.973531194
14610,242,100,110,12509,136,107,253,8003,0.973717771,0.977126806,0.980713446,0.956953246,0.971597833,0.985364538,0.961934789,0.971355747,0.972885025
14626,232,94,112,12514,129,99,256,8008,0.974438592,0.978196897,0.981105449,0.957551118,0.972284488,0.985778796,0.962467313,0.972907302,0.973717804
14617,237,98,108,12513,134,102,254,8007,0.974133629,0.977594971,0.981027048,0.957431544,0.972017854,0.985836649,0.962242387,0.971841243,0.97330676
14629,235,88,111,12515,129,100,251,8012,0.974660383,0.978397539,0.981183849,0.958029415,0.972536935,0.985781671,0.96261826,0.973629846,0.974009926
14614,243,95,113,12523,119,100,253,8010,0.974410868,0.977394329,0.981811054,0.957790267,0.972331883,0.985634316,0.961901836,0.973978599,0.97383825
14625,238,89,112,12505,138,104,256,8003,0.974022734,0.978130016,0.980399843,0.956953246,0.971827702,0.985445725,0.961997077,0.972417983,0.973286928
14622,236,94,114,12511,130,98,258,8007,0.974216801,0.977929374,0.980870247,0.957431544,0.972077055,0.985708507,0.96201461,0.97278581,0.973502976
14616,237,99,111,12520,124,104,250,8009,0.97435542,0.97752809,0.981575853,0.957670692,0.972258212,0.985503338,0.962558622,0.972910593,0.973657518
14626,236,90,115,12508,132,104,253,8006,0.974216801,0.978196897,0.980635045,0.957311969,0.97204797,0.985247558,0.962375933,0.97301896,0.973547484
14617,235,100,115,12506,134,108,248,8007,0.973939562,0.977594971,0.980478244,0.957431544,0.971834919,0.984973046,0.962814689,0.971605388,0.973131041
14623,233,96,120,12503,132,106,254,8003,0.973911838,0.977996255,0.980243042,0.956953246,0.971730848,0.98478012,0.962509623,0.972299842,0.973196528
14622,237,93,111,12517,127,97,255,8011,0.974494039,0.977929374,0.981340651,0.957909841,0.972393289,0.985974376,0.962180029,0.973271777,0.973808728
14617,236,99,106,12520,129,103,247,8013,0.974494039,0.977594971,0.981575853,0.95814899,0.972439938,0.985903143,0.962854726,0.972333455,0.973697108
14617,238,97,117,12508,130,101,255,8007,0.97399501,0.977594971,0.980635045,0.957431544,0.971887186,0.985305022,0.96207984,0.972431382,0.973272081
14618,240,94,114,12516,125,99,254,8010,0.974327696,0.977661851,0.98126225,0.957790267,0.972238123,0.98563819,0.962029208,0.973386803,0.973684734
14618,236,98,109,12520,126,109,250,8004,0.974272248,0.977661851,0.981575853,0.957072821,0.972103508,0.985306012,0.962632631,0.972775887,0.97357151
14612,248,92,110,12507,138,104,257,8002,0.973690047,0.977260567,0.980556644,0.956833672,0.971550295,0.985565898,0.961189671,0.972060253,0.972938607
14618,236,98,107,12520,128,94,250,8019,0.974688106,0.977661851,0.981575853,0.958866435,0.97270138,0.986436332,0.962632631,0.972589448,0.973886137
14612,248,92,120,12514,121,106,253,8004,0.973939562,0.977260567,0.981105449,0.957072821,0.971812946,0.984768837,0.961505955,0.974078131,0.973450974
14622,236,94,116,12510,129,99,254,8010,0.974272248,0.977929374,0.980791846,0.957790267,0.972170496,0.9855092,0.962307692,0.972913883,0.973576925
14663,215,99,91,12444,115,94,253,8096,0.975963404,0.97903452,0.983715415,0.958900865,0.9738836,0.987540409,0.963754647,0.974247894,0.975180983
14508,213,82,103,12455,110,126,264,8209,0.975103965,0.980071607,0.98318598,0.954645889,0.972634492,0.984460881,0.963114754,0.977145578,0.974907071
14690,205,75,105,12448,124,127,257,8039,0.975242584,0.981295925,0.981935789,0.954410543,0.972547419,0.984452486,0.964213788,0.975843651,0.974836642
14697,216,76,97,12473,127,111,248,8025,0.975741614,0.980519047,0.982358037,0.957180344,0.973352476,0.986044951,0.96413388,0.975328148,0.975168993
14582,229,82,114,12590,118,114,234,8007,0.975298032,0.979117706,0.981906099,0.958348294,0.973124033,0.984604997,0.964529227,0.975630559,0.974921594
14542,234,82,111,12432,108,111,308,8142,0.973551428,0.978731996,0.982689115,0.951057119,0.970826077,0.984963425,0.958224141,0.977196351,0.973461306
14664,226,70,85,12502,117,124,236,8046,0.976212919,0.980213904,0.984099496,0.957173448,0.973828949,0.98594769,0.964362851,0.97728653,0.97586569
14633,217,83,118,12509,130,116,253,8011,0.974577211,0.979910266,0.980559693,0.955966587,0.972145515,0.984260443,0.963787657,0.974100195,0.974049431
14672,228,94,108,12294,125,122,280,8147,0.973468256,0.978524743,0.981400176,0.952976956,0.970967292,0.98456583,0.9603187,0.973822615,0.972902382
