A,B,C,D,E,F,G,H,I,Accuracy,Recall_A,Recall_B,Recall_C,Recall,Precision_A,Precision_B,Precision_C,Precision
14460,492,25,172,12476,2,422,490,7531,0.955558636,0.965480403,0.986245059,0.891981523,0.947902329,0.960542049,0.927032248,0.996427626,0.961333974
14617,179,7,2463,10204,1,858,106,7635,0.899805933,0.987434979,0.805494159,0.887893941,0.893607693,0.814862303,0.972828678,0.998953291,0.928881424
14338,540,92,171,12448,58,462,516,7445,0.949015803,0.957782231,0.981935789,0.883889351,0.941202457,0.957718255,0.921800948,0.980250165,0.953256456
14734,230,25,1262,11435,0,767,164,7453,0.932131966,0.982987524,0.900606442,0.888955153,0.92418304,0.878959613,0.966692028,0.99665686,0.947436167
14240,628,25,117,12704,1,405,530,7420,0.952703077,0.956153898,0.990797068,0.888090963,0.945013976,0.964638938,0.916462271,0.996508192,0.959203134
14380,478,0,185,12466,0,507,547,7507,0.952398115,0.967828779,0.98537665,0.876883542,0.94336299,0.954087049,0.924023423,1,0.959370157
14473,225,262,495,11819,390,577,196,7633,0.940532298,0.967446524,0.930336902,0.908041875,0.9352751,0.931038919,0.965604575,0.921303561,0.939315685
14595,270,68,613,11485,659,650,258,7472,0.930191295,0.977365566,0.900290037,0.891646778,0.923100794,0.920355656,0.956047615,0.91133065,0.929244641
11044,915,3035,20,12093,414,231,661,7657,0.853728861,0.736561291,0.965354834,0.895660311,0.865858812,0.977777778,0.884702612,0.689447146,0.850642512
12779,2165,10,24,12563,0,244,725,7560,0.912170779,0.854553965,0.998093271,0.886387619,0.913011618,0.979458879,0.812981298,0.998678996,0.930373058
13735,1224,61,41,12696,1,315,616,7381,0.937399501,0.914447403,0.996702779,0.887993263,0.933047815,0.974735647,0.873417722,0.991670026,0.946607798
14077,858,12,68,12673,1,338,595,7448,0.948100915,0.94179434,0.994584838,0.888676769,0.941685315,0.971967134,0.897140025,0.998257606,0.955788255
12406,980,1590,18,12585,78,172,616,7625,0.904241752,0.828392094,0.992429619,0.906335433,0.909052382,0.984915846,0.887455045,0.820510061,0.897626984
14730,284,9,618,12044,0,679,264,7442,0.948599945,0.980496572,0.951192545,0.887537269,0.939742128,0.919074063,0.956480305,0.998792108,0.958115492
14623,310,7,1621,11065,0,819,177,7448,0.918658165,0.978781794,0.872221346,0.882046423,0.911016521,0.857000527,0.957842798,0.999061033,0.937968119
14766,162,53,2097,10051,384,873,80,7604,0.898835597,0.985648488,0.802026811,0.888629192,0.892101497,0.832543978,0.976488876,0.945653526,0.918228793
12238,2090,477,15,12795,5,197,719,7534,0.902883283,0.826612631,0.998439329,0.891597633,0.905549864,0.982971888,0.819982056,0.939870259,0.914274734
14777,294,34,576,11898,18,643,253,7577,0.949598004,0.978285336,0.952449568,0.894252331,0.941662412,0.923793448,0.956046605,0.993183904,0.957674652
14712,251,10,904,11757,2,740,226,7468,0.940864985,0.982568624,0.928452973,0.8854636,0.932161732,0.899486427,0.961010299,0.998395722,0.952964149
14560,451,15,270,12386,0,515,432,7441,0.953340726,0.968987089,0.978666245,0.88710062,0.944917985,0.948843271,0.933453915,0.997988197,0.960095128
14230,695,53,101,12571,3,365,557,7495,0.950817854,0.950060088,0.991794872,0.890459784,0.944104915,0.968290691,0.909426318,0.992583764,0.956766925
13613,1290,54,39,12636,0,294,621,7523,0.936290546,0.910142408,0.996923077,0.891561982,0.932875822,0.976122186,0.868632708,0.992873169,0.945876021
12377,2551,24,19,12735,1,214,704,7445,0.902606044,0.827782236,0.998431987,0.890230778,0.905481667,0.981522601,0.796435272,0.99665328,0.924870384
13776,1152,17,44,12628,1,313,638,7501,0.939977821,0.921779859,0.996449144,0.887482253,0.935237085,0.97473997,0.875849632,0.997606065,0.949398556
13194,1466,32,40,12712,0,262,708,7656,0.930468533,0.89803975,0.996863237,0.88754927,0.927484085,0.977622999,0.853956738,0.995837669,0.942472469
14629,287,8,679,12081,0,736,239,7411,0.945966177,0.980233181,0.946786834,0.883734796,0.93691827,0.911805036,0.958277148,0.998921688,0.956334624
14719,221,32,1583,10757,277,827,157,7497,0.914139174,0.98310179,0.852579853,0.883975946,0.90655253,0.859302937,0.966052986,0.960415065,0.928590329
12687,2075,165,19,12642,15,207,692,7568,0.91203216,0.849936357,0.997317766,0.893823078,0.9136924,0.982498258,0.820429619,0.976768198,0.926565358
14494,347,81,328,12272,34,558,362,7594,0.952592182,0.971317518,0.971347158,0.891942683,0.94486912,0.942392718,0.945381712,0.985082371,0.957618934
14586,309,8,1255,11433,1,756,253,7469,0.928416967,0.978729115,0.901016629,0.880986082,0.920243942,0.878833524,0.953147145,0.99879647,0.943592379
