A,B,C,D,E,F,G,H,I,Accuracy,Recall_A,Recall_B,Recall_C,Recall,Precision_A,Precision_B,Precision_C,Precision
14524,349,104,165,12381,104,105,361,7977,0.967064042,0.969753622,0.978735178,0.944806348,0.964431716,0.981749358,0.945764266,0.97458766,0.967367095
14358,358,87,158,12419,91,107,393,8099,0.966897699,0.969938526,0.980344174,0.941853704,0.964045468,0.981877864,0.942976462,0.978494624,0.967782983
14517,353,100,161,12411,105,119,404,7900,0.965566953,0.969739479,0.979017118,0.937908109,0.962221568,0.981077245,0.942512151,0.974706971,0.966098789
14524,375,90,140,12442,115,93,372,7919,0.967147214,0.96897725,0.979916516,0.944537214,0.964476993,0.984210883,0.943361892,0.974766125,0.9674463
14425,366,102,163,12534,125,108,337,7910,0.966703632,0.968575841,0.977538606,0.94673848,0.964284309,0.981559608,0.94689129,0.972102741,0.966851213
14416,354,88,159,12373,119,114,418,8029,0.965289714,0.970251716,0.978025453,0.937857727,0.962044965,0.981414664,0.941270445,0.97486644,0.965850516
14508,363,89,135,12456,113,105,346,7955,0.968089825,0.969786096,0.980478589,0.946347847,0.965537511,0.983726607,0.946145082,0.975235994,0.968369227
14494,353,86,169,12473,115,103,359,7918,0.967147214,0.970602022,0.977737713,0.944868735,0.964402823,0.981579304,0.945999242,0.975243257,0.967607267
14557,333,104,157,12253,117,114,407,8028,0.965844192,0.970855009,0.978127245,0.9390572,0.962679818,0.981723766,0.943046256,0.973208874,0.965992965
14489,374,91,154,12333,100,105,364,8060,0.967064042,0.968904641,0.97982045,0.945011138,0.964578743,0.982438297,0.943539132,0.976851291,0.967609573
14528,387,105,154,12479,105,99,377,7836,0.965982811,0.967243675,0.979667138,0.942733397,0.963214737,0.982883431,0.942309144,0.973900075,0.966364217
14489,364,94,151,12495,96,90,430,7861,0.966038259,0.9693584,0.980615288,0.937954898,0.962642862,0.983638832,0.940251336,0.976400447,0.966763538
14509,359,108,159,12406,116,104,388,7921,0.965788744,0.968816774,0.978314013,0.941519078,0.962883288,0.982196047,0.943206873,0.972498465,0.965967128
14588,351,84,169,12359,134,105,361,7919,0.96662046,0.971044399,0.976070131,0.944424568,0.963846366,0.98156372,0.945528269,0.973208799,0.966766929
14487,361,92,159,12421,106,105,371,7968,0.966897699,0.969678715,0.979110831,0.943628612,0.964139386,0.982102908,0.944347297,0.975753123,0.967401109
14523,370,88,185,12235,112,111,387,8059,0.965261991,0.969427942,0.97630067,0.941802033,0.962510215,0.980025643,0.941733374,0.975783993,0.96584767
14352,354,99,165,12533,117,90,395,7965,0.966176878,0.969402229,0.977994538,0.94260355,0.963333439,0.982542617,0.94360789,0.97359736,0.966582622
14633,384,88,154,12222,116,97,346,8030,0.967147214,0.968752069,0.978386167,0.947716275,0.964951504,0.983136254,0.943638048,0.975224678,0.967332993
14503,377,93,171,12394,98,104,403,7927,0.965456058,0.968610165,0.978757009,0.939886175,0.962417783,0.981391257,0.94079247,0.976472037,0.966218588
14577,361,88,165,12378,113,106,381,7901,0.966343222,0.970118461,0.978034134,0.941940868,0.963364488,0.981748384,0.943445122,0.975191311,0.966794939
14514,369,95,154,12409,112,90,362,7965,0.967230385,0.969021231,0.979013807,0.946299156,0.964778065,0.983466594,0.944368341,0.974669604,0.967501513
14492,367,98,160,12414,101,97,370,7971,0.966925423,0.968910878,0.979408284,0.944655132,0.964324764,0.98257509,0.943958634,0.975642595,0.967392106
14488,360,104,171,12459,125,99,362,7902,0.966149154,0.968967362,0.976793414,0.944876241,0.963545672,0.981704838,0.945224186,0.971836183,0.966255069
14466,389,90,161,12406,106,125,361,7966,0.965844192,0.967949147,0.978931587,0.942498817,0.963126517,0.980612798,0.942991791,0.975986278,0.966530289
14251,363,78,184,12456,112,109,374,8143,0.966176878,0.969983665,0.976787955,0.944006492,0.963592704,0.979854235,0.944137042,0.977199088,0.967063455
14470,359,95,147,12475,138,118,374,7894,0.965871916,0.969579201,0.977664577,0.941330789,0.962858189,0.982015609,0.944503331,0.971330134,0.965949692
14520,371,81,151,12353,113,102,407,7972,0.966038259,0.969810313,0.97907585,0.939983493,0.962956552,0.982874162,0.940750895,0.976242959,0.966622672
14463,383,81,187,12363,126,94,382,7991,0.965261991,0.968915388,0.975307668,0.943781741,0.962668266,0.9809414,0.941727605,0.974749939,0.965806315
14494,368,60,164,12365,105,112,356,8046,0.967701691,0.971317518,0.978708248,0.945031712,0.965019159,0.981313473,0.944686378,0.979905005,0.968634952
14440,382,81,174,12397,118,109,375,7994,0.965650125,0.96893243,0.976987942,0.942911064,0.962943812,0.980778374,0.942450965,0.975710973,0.966313437
