A,B,C,D,E,F,G,H,I,Accuracy,Recall_A,Recall_B,Recall_C,Recall,Precision_A,Precision_B,Precision_C,Precision
45840,1043,0,640,5307,0,3,924,0,0.951448183,0.97775313,0.892382714,0,0.623378615,0.986166986,0.729584823,0,0.571917269
45962,1055,0,643,5213,0,2,882,0,0.951969046,0.977561308,0.890198087,0,0.622586465,0.986160877,0.729090909,0,0.571750595
45902,1028,0,620,5271,0,2,934,0,0.951931841,0.978095035,0.894754711,0,0.624283249,0.986630556,0.72874326,0,0.571791272
45896,1071,0,637,5276,0,1,876,0,0.951913239,0.977196755,0.892271267,0,0.623156007,0.986289595,0.730444414,0,0.572244669
46013,1062,0,640,5134,0,1,907,0,0.951448183,0.977440255,0.889158296,0,0.622199517,0.986260556,0.722793186,0,0.569684581
46010,1015,0,659,5185,0,1,887,0,0.95234109,0.978415736,0.887234771,0,0.621883502,0.985858153,0.731621278,0,0.572493144
45909,1041,0,669,5222,0,1,915,0,0.951150548,0.977827476,0.886436938,0,0.621421471,0.985615835,0.727500697,0,0.571038844
45839,1046,0,672,5242,0,2,956,0,0.950220436,0.977690093,0.886371322,0,0.621353805,0.985509427,0.723633352,0,0.56971426
45812,1074,0,626,5297,0,5,943,0,0.950741299,0.977093375,0.894310316,0,0.62380123,0.986413453,0.724227509,0,0.570213654
46041,998,0,650,5154,0,4,910,0,0.95234109,0.978783563,0.88800827,0,0.622263944,0.985994218,0.72982158,0,0.571938599
45942,984,0,659,5286,0,3,883,0,0.952954964,0.979030814,0.889150547,0,0.62272712,0.985795211,0.738990633,0,0.574928615
45972,1100,0,653,5143,0,2,887,0,0.950852912,0.976631543,0.887336094,0,0.621322546,0.985952345,0.721318373,0,0.569090239
45961,1034,0,618,5217,0,3,924,0,0.952024853,0.977997659,0.894087404,0,0.624028354,0.98666867,0.727108014,0,0.571258895
45896,1070,0,640,5289,0,2,860,0,0.952155068,0.977217562,0.892055996,0,0.623091186,0.986204822,0.732649952,0,0.572951591
45857,1037,0,662,5284,0,2,915,0,0.95133657,0.977886297,0.888664649,0,0.622183648,0.985726876,0.7302377,0,0.571988192
45967,1047,0,655,5202,0,3,883,0,0.951857433,0.977730038,0.888168004,0,0.621966014,0.985887399,0.729388671,0,0.57175869
45795,1051,0,628,5346,0,2,935,0,0.95133657,0.977564787,0.894877804,0,0.62414753,0.986429725,0.72913257,0,0.571854098
45970,1058,0,632,5198,0,1,898,0,0.95183883,0.977502764,0.891595197,0,0.623032654,0.986417183,0.726586525,0,0.571001236
45891,999,0,631,5394,0,3,839,0,0.954015291,0.978694818,0.89526971,0,0.624654842,0.986372918,0.74585177,0,0.577408229
45977,1040,0,660,5238,0,2,840,0,0.952713135,0.977880341,0.88809766,0,0.621992667,0.985805871,0.735880865,0,0.573895579
45984,994,0,640,5229,0,0,910,0,0.952675931,0.97884116,0.890952462,0,0.623264541,0.986273164,0.733071639,0,0.573114934
45929,1052,0,663,5204,0,2,907,0,0.951187752,0.977607969,0.886995057,0,0.621534342,0.985727776,0.726511238,0,0.570746338
45843,1040,0,639,5331,0,2,902,0,0.951950444,0.977817119,0.892964824,0,0.623593981,0.986210309,0.732985013,0,0.573065107
45989,1035,0,624,5196,0,0,913,0,0.952155068,0.977989963,0.892783505,0,0.623591156,0.986613177,0.727323628,0,0.571312268
45901,1029,0,674,5278,0,2,873,0,0.952043455,0.978073727,0.886760753,0,0.621611493,0.985486399,0.735097493,0,0.573527964
45905,1063,0,635,5243,0,4,907,0,0.951466786,0.977367569,0.891970058,0,0.623112542,0.986271055,0.726882019,0,0.571051025
45931,1050,0,672,5222,0,5,877,0,0.951559797,0.97765054,0.885985748,0,0.621212096,0.985474597,0.730451811,0,0.571975469
46056,985,0,671,5139,0,3,903,0,0.95234109,0.979060819,0.884509466,0,0.621190095,0.985576717,0.731322044,0,0.572299587
45885,1034,0,631,5276,0,1,930,0,0.951708615,0.97796202,0.893177586,0,0.623713202,0.986413569,0.728729282,0,0.571714284
45915,1011,0,634,5333,0,2,862,0,0.953327009,0.97845544,0.893748953,0,0.624068131,0.986337565,0.740077713,0,0.575471759
