A,B,C,D,E,F,G,H,I,Accuracy,Recall_A,Recall_B,Recall_C,Recall,Precision_A,Precision_B,Precision_C,Precision
46303,532,48,2324,3623,0,16,22,889,0.945272244,0.987628778,0.60921473,0.959007551,0.851950353,0.951894414,0.867368925,0.948772679,0.922678673
46633,377,7,2760,3096,0,24,16,844,0.940770504,0.991832741,0.528688525,0.954751131,0.825090799,0.943663112,0.887360275,0.991774383,0.94093259
46062,854,14,1764,4127,0,28,25,883,0.950053016,0.981504368,0.700560177,0.943376068,0.875146871,0.962552765,0.824410707,0.984392419,0.923785297
46450,497,20,2245,3668,0,17,23,837,0.947876556,0.988992271,0.620328091,0.954389966,0.854570109,0.953563804,0.875835721,0.976662777,0.935354101
46810,240,25,3406,2368,0,26,12,870,0.931004334,0.994370685,0.410114306,0.95814978,0.787544923,0.931690617,0.903816794,0.972067039,0.93585815
46456,542,27,2134,3710,0,20,14,854,0.9490857,0.987900053,0.634839151,0.961711712,0.861483639,0.95568813,0.869667135,0.969353008,0.931569424
45459,1455,36,1381,4510,0,15,19,882,0.945941924,0.968242812,0.765574605,0.962882096,0.898899838,0.970205955,0.753676471,0.960784314,0.894888913
46741,144,0,4069,1845,0,38,3,917,0.92086612,0.996928655,0.311971593,0.957202505,0.755367584,0.919229862,0.926204819,1,0.948478227
46168,686,32,1994,3929,0,26,26,896,0.94858344,0.98468626,0.663346277,0.945147679,0.864393406,0.95808085,0.846584788,0.965517241,0.923394293
45316,1701,22,1032,4772,0,21,25,868,0.947895158,0.96337082,0.822191592,0.949671772,0.911744728,0.977290862,0.734379809,0.975280899,0.895650523
46667,246,13,3180,2765,0,32,9,845,0.935264245,0.994480672,0.46509672,0.953724605,0.804433999,0.935604162,0.915562914,0.984848485,0.94533852
46478,546,48,2216,3580,0,22,18,849,0.946983649,0.987381033,0.617667357,0.955005624,0.853351338,0.954060268,0.863899614,0.946488294,0.921482725
45255,1717,23,988,4847,0,19,23,885,0.948471827,0.962974785,0.830676949,0.954692557,0.916114764,0.978232675,0.735843328,0.974669604,0.896248535
46198,740,28,1837,4092,0,19,30,813,0.950629685,0.983647745,0.690166976,0.943155452,0.872323391,0.961376784,0.841628959,0.966706302,0.923237349
46327,546,21,2369,3577,0,28,15,874,0.944583961,0.987908901,0.601580895,0.953107961,0.847532585,0.950804532,0.86442726,0.976536313,0.930589368
46250,754,10,1873,3984,0,22,16,848,0.950239039,0.983749521,0.680211712,0.957110609,0.873690614,0.960639734,0.838031132,0.988344988,0.929005285
46606,225,15,3430,2544,0,29,12,896,0.93096713,0.99487683,0.42584533,0.95624333,0.79232183,0.930909817,0.914778857,0.983534577,0.943074417
46435,578,15,2112,3718,0,19,15,865,0.949048496,0.987390491,0.637735849,0.9621802,0.862435513,0.956121567,0.862444908,0.982954545,0.93384034
46737,139,14,3818,2207,0,28,9,805,0.925442268,0.996737044,0.366307054,0.956057007,0.773033702,0.92396655,0.937154989,0.982905983,0.948009174
46443,554,20,2190,3708,0,21,24,797,0.94774634,0.98779165,0.628687691,0.946555819,0.854345053,0.954556665,0.865142324,0.975520196,0.931739728
44545,2407,26,771,5098,0,8,21,881,0.939858995,0.9482098,0.868631794,0.968131868,0.928324488,0.982812638,0.677385065,0.971334068,0.877177257
46221,731,29,1882,3985,0,17,20,872,0.95016463,0.983823248,0.679222771,0.95929593,0.874113983,0.96053616,0.841427365,0.967813541,0.923259022
46559,291,33,2972,2998,0,20,17,867,0.937998772,0.993089179,0.502177554,0.959070796,0.81811251,0.939617768,0.906836056,0.963333333,0.936595719
45993,1023,8,1330,4490,0,18,24,871,0.955298845,0.978075026,0.771477663,0.953997809,0.901183499,0.971525739,0.810908434,0.990898749,0.924444307
45599,1291,40,2001,3951,0,18,25,832,0.937217479,0.971638611,0.663810484,0.950857143,0.862102079,0.957600067,0.750142396,0.95412844,0.887290301
45405,1552,11,1175,4703,0,18,20,873,0.948360214,0.966722024,0.800102076,0.958287596,0.908370565,0.974398043,0.749482072,0.987556561,0.903812225
46257,696,28,1969,3925,0,27,25,830,0.948936883,0.984589515,0.665931456,0.941043084,0.863854685,0.958634696,0.844812742,0.967365967,0.923604469
46606,415,20,2491,3319,0,28,15,863,0.944769983,0.990752748,0.571256454,0.952538631,0.838182611,0.948722646,0.885302747,0.977349943,0.937125112
45876,1032,11,2134,3773,0,19,16,896,0.940249642,0.9777702,0.638733706,0.962406015,0.85963664,0.955172916,0.782617714,0.987872106,0.908554245
45732,1163,31,1477,4490,0,13,20,831,0.949699574,0.974555683,0.752471929,0.961805556,0.896277723,0.96844691,0.791468359,0.964037123,0.907984131
