A,B,C,D,E,F,G,H,I,Accuracy,Recall_A,Recall_B,Recall_C,Recall,Precision_A,Precision_B,Precision_C,Precision
46399,482,2,322,5625,0,12,26,889,0.984299719,0.989676429,0.945855053,0.959007551,0.964846344,0.992853016,0.917169411,0.997755331,0.969259253
46513,500,4,303,5552,1,5,19,860,0.984522946,0.989280473,0.948087432,0.972850679,0.970072861,0.993421755,0.914511613,0.994219653,0.96738434
46449,481,0,326,5565,0,18,26,892,0.984169504,0.989750693,0.944661348,0.952991453,0.962467831,0.992648473,0.916501976,1,0.969716816
46450,514,3,305,5608,0,13,20,844,0.984095095,0.988992271,0.948418738,0.962371722,0.966594244,0.993200479,0.913057636,0.996458087,0.967572067
46573,500,2,321,5453,0,11,22,875,0.984076492,0.989336166,0.944405958,0.963656388,0.965799504,0.992921863,0.912635983,0.997719498,0.967759115
46520,502,3,295,5548,1,11,18,859,0.98456015,0.989261031,0.94934976,0.967342342,0.968651045,0.993465169,0.914304548,0.995365006,0.967711574
46451,497,2,326,5565,0,17,18,881,0.984002083,0.989371672,0.944661348,0.961790393,0.965274471,0.99267,0.915296053,0.997734994,0.968567016
46388,493,4,334,5579,1,14,14,930,0.984002083,0.989399595,0.943354751,0.970772443,0.967842263,0.99255392,0.916694052,0.994652406,0.967966793
46412,472,2,346,5577,0,16,32,900,0.983853266,0.989890372,0.941583657,0.949367089,0.960280373,0.992260658,0.917118895,0.997782705,0.969054086
46580,458,1,308,5496,0,19,20,875,0.985006604,0.99024214,0.94693315,0.957330416,0.964835235,0.993028759,0.919986609,0.998858447,0.970624605
46443,482,1,327,5618,0,17,16,853,0.984318321,0.989707199,0.944995795,0.96275395,0.965818981,0.99264753,0.918574232,0.99882904,0.970016934
46612,455,5,348,5446,2,14,21,854,0.984281117,0.990227736,0.939613527,0.960629921,0.963490395,0.992293609,0.919621749,0.991869919,0.967928426
46488,502,5,311,5524,0,12,21,894,0.984169504,0.989211618,0.946700943,0.964401294,0.966771285,0.993099912,0.913510832,0.994438265,0.967016336
46496,465,5,317,5612,0,12,29,821,0.984597355,0.989992761,0.946533985,0.952436195,0.962987647,0.992973839,0.919095971,0.993946731,0.96867218
46419,473,2,339,5607,0,15,22,880,0.984169504,0.989870772,0.942986882,0.959651036,0.964169563,0.992431531,0.918879056,0.997732426,0.969681004
46537,473,4,334,5523,0,7,18,861,0.984448537,0.989854086,0.942974219,0.971783296,0.968203867,0.992725799,0.918357167,0.995375723,0.968819563
46381,462,3,313,5661,0,12,20,905,0.984932195,0.990073859,0.947606294,0.965848453,0.967842868,0.993041579,0.921536708,0.996696035,0.970424774
46551,473,4,299,5531,0,11,20,868,0.984988002,0.989857106,0.948713551,0.965517241,0.968029299,0.993384691,0.918160691,0.995412844,0.968986075
46402,486,2,357,5667,1,14,19,809,0.983648641,0.989592664,0.940580913,0.960807601,0.963660392,0.992068073,0.918178872,0.996305419,0.968850788
46467,547,3,321,5577,0,10,25,807,0.983146381,0.988302103,0.945574771,0.958432304,0.96410306,0.992927048,0.906976744,0.996296296,0.96540003
46474,503,1,315,5554,0,9,19,882,0.984243912,0.989271574,0.946328165,0.969230769,0.968276836,0.993076627,0.914088216,0.998867497,0.968677447
46486,492,3,308,5559,0,14,19,876,0.984448537,0.989463826,0.947502983,0.96369637,0.966887726,0.993120834,0.915815486,0.996587031,0.968507784
46367,514,2,314,5656,0,10,23,871,0.983946277,0.988993878,0.947403685,0.963495575,0.966631046,0.993060761,0.913289197,0.997709049,0.968019669
46500,520,4,284,5535,1,13,17,883,0.98439273,0.988856754,0.951030928,0.967141292,0.969009658,0.993653439,0.911561265,0.994369369,0.966528025
46445,482,3,353,5598,1,17,20,838,0.983704448,0.989665459,0.940524194,0.957714286,0.962634646,0.99209655,0.917704918,0.995249406,0.968350291
46486,480,2,340,5537,1,11,18,882,0.984150901,0.989737694,0.94198707,0.96816685,0.966630538,0.992505925,0.917481359,0.996610169,0.968865818
46487,489,5,319,5573,2,23,22,837,0.984002083,0.989485111,0.945537835,0.948979592,0.961334179,0.992696833,0.916009204,0.991706161,0.966804066
46566,472,3,331,5479,0,10,23,873,0.98439273,0.989902426,0.94302926,0.963576159,0.965502615,0.992730296,0.917140944,0.996575342,0.968815528
46452,464,3,328,5578,1,11,15,905,0.984708968,0.990046676,0.944303369,0.97207304,0.968807695,0.992755017,0.920917946,0.99559956,0.969757508
46465,459,2,316,5650,1,15,17,832,0.984932195,0.990176022,0.946874476,0.962962963,0.966671154,0.992926746,0.9222984,0.996407186,0.970544111
