A,B,C,D,E,F,G,H,I,Accuracy,Recall_A,Recall_B,Recall_C,Recall,Precision_A,Precision_B,Precision_C,Precision
18483,3500,0,521,9333,0,20850,20,0,0.527747737,0.840786062,0.94712807,0,0.595971377,0.463767752,0.726133977,0,0.39663391
18419,3585,0,510,9238,0,20935,20,0,0.52473106,0.837075077,0.947681576,0,0.594918884,0.462045956,0.719302344,0,0.393782767
18655,3482,0,508,9262,0,20778,22,0,0.529663992,0.842706781,0.948004094,0,0.596903625,0.467063919,0.725520915,0,0.397528278
18564,3556,0,518,9189,0,20864,16,0,0.52655245,0.839240506,0.946636448,0,0.595292318,0.464727382,0.720084633,0,0.394937338
18680,3416,0,532,9146,0,20914,19,0,0.527937466,0.845401883,0.945029965,0,0.596810616,0.465533569,0.726969239,0,0.397500936
18477,3538,0,501,9297,0,20880,14,0,0.526950879,0.839291392,0.948867116,0,0.596052836,0.463570676,0.723558254,0,0.395709643
18538,3443,0,517,9181,0,21000,28,0,0.525907375,0.843364724,0.946690039,0,0.596684921,0.462813631,0.725656023,0,0.396156551
18621,3515,0,504,9124,0,20922,21,0,0.526400668,0.84120889,0.94765268,0,0.59628719,0.46497865,0.720695103,0,0.395224584
18720,3588,0,475,9249,0,20656,19,0,0.530650578,0.839160839,0.951151789,0,0.596770876,0.469749818,0.719430616,0,0.396393478
18458,3593,0,521,9300,0,20811,24,0,0.526647314,0.837059544,0.946950412,0,0.594669985,0.463885398,0.71998142,0,0.394622273
18317,3565,0,538,9341,0,20928,18,0,0.524750033,0.837080706,0.945541047,0,0.594207251,0.460422794,0.72276385,0,0.394395548
18470,3600,0,553,9306,0,20758,20,0,0.526988825,0.836882646,0.943909119,0,0.593597255,0.464291999,0.719944298,0,0.394745432
18447,3441,0,555,9314,0,20923,27,0,0.526704233,0.84279057,0.943763299,0,0.595517956,0.462041327,0.728680958,0,0.396907428
18534,3555,0,516,9245,0,20840,17,0,0.527045743,0.839060166,0.947136564,0,0.59539891,0.464627726,0.721307638,0,0.395311788
18663,3493,0,514,9290,0,20719,28,0,0.530347013,0.842345189,0.947572419,0,0.596639203,0.467791257,0.725158067,0,0.397649775
18483,3481,0,522,9235,0,20965,21,0,0.525888402,0.841513386,0.946499949,0,0.596004445,0.462421816,0.725052995,0,0.395824937
18574,3559,0,510,9141,0,20904,19,0,0.525831483,0.839199386,0.947155735,0,0.595451707,0.464489347,0.718688576,0,0.394392641
18431,3480,0,585,9358,0,20835,18,0,0.527235472,0.841175665,0.941164638,0,0.594113435,0.462497804,0.727909147,0,0.396802317
18536,3509,0,577,9218,0,20847,20,0,0.526571423,0.840825584,0.941092394,0,0.593972659,0.463863864,0.723150545,0,0.39567147
18549,3506,0,554,9276,0,20809,13,0,0.527918493,0.841033779,0.943641913,0,0.594891897,0.464747444,0.724970692,0,0.396572712
18536,3570,0,538,9272,0,20773,18,0,0.527595955,0.838505383,0.945158002,0,0.594554462,0.465179311,0.720995334,0,0.395391548
18605,3581,0,470,9219,0,20811,21,0,0.52789952,0.838591905,0.951491382,0,0.596694429,0.466454395,0.719054676,0,0.39516969
18655,3510,0,550,9060,0,20914,18,0,0.525831483,0.841642229,0.94276795,0,0.594803393,0.46499165,0.719733079,0,0.394908243
18549,3462,0,577,9197,0,20901,21,0,0.526419641,0.842715006,0.940965828,0,0.594560278,0.463412197,0.725315457,0,0.396242551
18690,3555,0,531,9108,0,20806,17,0,0.527406227,0.840188806,0.944911298,0,0.595033368,0.466934819,0.71829653,0,0.395077116
18529,3598,0,492,9261,0,20803,24,0,0.527254444,0.83739323,0.949553983,0,0.595649071,0.465272198,0.718854304,0,0.394708834
18464,3572,0,488,9222,0,20944,17,0,0.525281272,0.837901616,0.949742533,0,0.595881383,0.462803289,0.719850129,0,0.394217806
18442,3584,0,515,9183,0,20956,27,0,0.52412393,0.837283211,0.946896267,0,0.594726493,0.46205497,0.717758324,0,0.393271098
18411,3525,0,520,9377,0,20859,15,0,0.527216499,0.839305252,0.947458826,0,0.595588026,0.462704197,0.725942556,0,0.396215584
18643,3566,0,500,9212,0,20773,13,0,0.528487677,0.839434464,0.948517298,0,0.595983921,0.467055817,0.720193886,0,0.395749901
