A,B,C,D,E,F,G,H,I,Accuracy,Recall_A,Recall_B,Recall_C,Recall,Precision_A,Precision_B,Precision_C,Precision
19356,384,2243,3782,6072,0,1658,3,19209,0.846889407,0.880498567,0.616196468,0.920412075,0.80570237,0.780609776,0.940083604,0.895440985,0.872044788
16365,476,5163,3052,6696,0,54,6,20895,0.833968923,0.743728413,0.686910135,0.997136722,0.809258423,0.840480715,0.932850376,0.80186507,0.85839872
18731,608,2798,2548,7222,0,664,8,20128,0.874286148,0.846139947,0.739201638,0.967692308,0.851011297,0.853620745,0.921408523,0.87795516,0.884328142
17235,847,4038,2714,6993,0,169,4,20707,0.852543305,0.779159132,0.720407953,0.991714559,0.830427215,0.856695497,0.891509434,0.836815518,0.861673483
16951,1900,3245,1308,8370,0,389,19,20525,0.869827537,0.767152426,0.864848109,0.980509244,0.870836593,0.908998284,0.813490135,0.863483382,0.861990601
17108,1407,3500,1589,8209,0,275,6,20613,0.871421253,0.777106518,0.837824046,0.986551163,0.867160576,0.901749947,0.853149033,0.854850081,0.869916354
17846,473,3662,3003,6695,0,357,9,20662,0.857628019,0.81188299,0.690348525,0.982594636,0.828275384,0.841554277,0.93284102,0.849449104,0.8746148
17134,846,4156,2471,7157,0,183,6,20754,0.854630315,0.774033249,0.743352721,0.990975505,0.836120492,0.86587831,0.893619678,0.833159374,0.864219121
19466,1391,1451,1657,8067,0,2376,13,18286,0.869315271,0.872601757,0.829596874,0.884449819,0.86221615,0.828375676,0.851757998,0.926483255,0.868872309
15185,2104,4762,1483,8338,0,57,13,20765,0.840267896,0.688630901,0.848997047,0.996640269,0.844756072,0.907922272,0.797513152,0.813452423,0.839629282
16757,1270,3855,1741,8138,0,382,10,20554,0.862295331,0.765789233,0.823767588,0.98128521,0.856947344,0.887552966,0.86409004,0.842066451,0.864569819
17614,1021,3435,1900,7958,1,892,9,19877,0.862295331,0.798096964,0.807181256,0.956636827,0.853971682,0.863177497,0.885402759,0.852614421,0.867064892
18765,381,2742,3552,6317,0,989,9,19952,0.854421614,0.857319079,0.640085115,0.952362768,0.816588987,0.80515747,0.941851797,0.879175112,0.875394793
18133,710,3246,2251,7510,0,984,4,19869,0.863490618,0.820906333,0.769388382,0.952629813,0.847641509,0.848605391,0.913180934,0.859571707,0.873786011
16943,959,4254,1931,7873,0,205,11,20531,0.860360104,0.764713847,0.803039576,0.989588856,0.852447426,0.888044447,0.890308719,0.82836393,0.868905698
18564,548,2852,2687,7069,1,642,4,20340,0.872237084,0.845201238,0.724505483,0.969217574,0.846308098,0.847942265,0.927568561,0.876988747,0.884166524
18457,1860,1816,1375,8276,0,2092,11,18820,0.864268503,0.833913161,0.857527717,0.899488601,0.86364316,0.841862799,0.815610525,0.911998449,0.856490591
16325,2433,3153,1070,8873,0,750,18,20085,0.859145844,0.745059559,0.892386604,0.963170767,0.86687231,0.899696886,0.783557047,0.864317067,0.849190333
19296,473,2276,3050,6745,0,2097,5,18765,0.850095813,0.875300522,0.688616641,0.899266785,0.821061316,0.789428466,0.933822511,0.891830236,0.871693738
15156,3371,3528,955,8875,0,1393,9,19420,0.824387652,0.687191113,0.902848423,0.932667371,0.840902302,0.865859232,0.724194206,0.846261112,0.81210485
17042,1225,3839,1730,8080,0,370,11,20410,0.863870074,0.770921922,0.823649337,0.981674763,0.858748674,0.890293595,0.867325032,0.841684193,0.866434274
17624,1253,3309,1771,7918,0,1360,8,19464,0.853890375,0.794374831,0.817215399,0.934331797,0.848640676,0.849144784,0.862621201,0.854696351,0.855487445
16597,916,4652,2063,7547,0,90,9,20833,0.853340164,0.748793142,0.785327784,0.995270399,0.843130442,0.885173333,0.890816808,0.817461252,0.864483798
15819,2433,3759,1407,8367,0,156,12,20754,0.85263817,0.718686111,0.856046654,0.991970175,0.855567647,0.910079392,0.773862375,0.846652796,0.843531521
19179,2033,1033,1338,8301,0,2959,12,17852,0.860075512,0.862171274,0.86118892,0.857321231,0.860227142,0.816962004,0.802339068,0.945300503,0.854867192
18796,1007,2324,2390,7363,0,1125,10,19692,0.869922401,0.849459936,0.754947196,0.945503433,0.849970188,0.842454395,0.878639618,0.894440407,0.871844807
18104,1178,2754,2124,7586,0,2129,6,18826,0.844593697,0.821564712,0.781256437,0.898144173,0.833655107,0.809768753,0.864994299,0.872381835,0.849048295
17266,1396,3364,1380,8318,0,289,12,20682,0.877796118,0.783891764,0.857702619,0.985655054,0.875749812,0.911856351,0.855233395,0.860101472,0.875730406
16244,2808,2884,1227,8670,0,2338,10,18526,0.824178952,0.74051787,0.876023037,0.88751557,0.834685492,0.820031299,0.754700557,0.86529659,0.813342815
19147,941,2121,2612,7100,0,1607,3,19176,0.861802038,0.862127966,0.731054366,0.92254402,0.838575451,0.8194385,0.88264545,0.900408508,0.867497486
