A,B,C,D,E,F,G,H,I,Accuracy,Recall_A,Recall_B,Recall_C,Recall,Precision_A,Precision_B,Precision_C,Precision
21382,525,76,645,9209,0,140,9,20721,0.973532927,0.972660692,0.934544347,0.992860565,0.966688535,0.964586999,0.945191419,0.996345627,0.968708015
21405,498,101,645,9103,0,145,9,20801,0.973476009,0.972777677,0.933832581,0.992650919,0.966420392,0.964406398,0.947242456,0.995167927,0.968938927
21536,507,94,595,9175,0,119,15,20666,0.97476616,0.972850883,0.939099284,0.993557692,0.96850262,0.967910112,0.946168918,0.995472062,0.969850364
21514,513,93,607,9100,0,138,4,20738,0.97429184,0.972603978,0.937467807,0.993199234,0.967757006,0.966530392,0.946241032,0.9955355,0.969435641
21520,484,92,610,9068,0,135,11,20787,0.974728214,0.973931933,0.936970448,0.993025367,0.967975916,0.966539412,0.948238001,0.995593659,0.97012369
21360,546,109,591,9207,0,132,6,20756,0.973741628,0.970247558,0.939681568,0.993395233,0.967774786,0.967259883,0.943436828,0.994775941,0.968490884
21406,491,84,602,9096,0,149,12,20867,0.974614378,0.973841045,0.937925345,0.992343542,0.968036644,0.96610552,0.947598708,0.995990645,0.969898291
21518,515,103,646,8982,0,135,12,20796,0.973229362,0.972081677,0.93290403,0.992980948,0.965988885,0.964976008,0.94457882,0.995071535,0.968208787
21639,562,107,620,9104,0,123,11,20541,0.973001689,0.970010758,0.93624023,0.993518742,0.96658991,0.966803682,0.940787434,0.9948179,0.967469672
21423,534,94,630,9191,0,146,10,20679,0.973172444,0.971520566,0.935851746,0.992512599,0.966628304,0.96504347,0.944119158,0.995474895,0.968212508
21281,508,93,626,9253,0,154,8,20784,0.973646764,0.972534503,0.936633262,0.992265826,0.967144531,0.964643489,0.947179855,0.995545337,0.969122893
21458,518,94,704,9155,0,125,9,20644,0.972489423,0.97227005,0.928593164,0.993550871,0.964804695,0.962803428,0.945569097,0.995467258,0.967946594
21317,482,89,617,9252,0,140,15,20795,0.974519514,0.973912646,0.937481001,0.992601432,0.96799836,0.965706261,0.949020412,0.995738364,0.970155012
21493,511,85,617,9144,0,150,7,20700,0.974007248,0.973018244,0.936789263,0.992472551,0.967426686,0.965543576,0.946387911,0.995910512,0.969280667
21537,512,107,619,9185,0,143,13,20591,0.9735519,0.972061744,0.936862505,0.992480841,0.96713503,0.965828064,0.945932029,0.994830418,0.968863504
21372,503,89,625,9132,0,131,10,20845,0.974234921,0.973046804,0.935943425,0.993281235,0.967423821,0.965835141,0.94681182,0.995748543,0.969465168
21531,513,89,620,9031,0,123,10,20790,0.97429184,0.972800795,0.935757953,0.993643359,0.967400702,0.966642722,0.94525853,0.995737344,0.969212866
21291,515,105,652,9291,0,139,12,20702,0.973001689,0.97170371,0.93442623,0.992758836,0.966296259,0.964178969,0.94632308,0.994953621,0.968485224
21420,530,95,622,9173,0,136,5,20726,0.973665737,0.9716489,0.936498213,0.993242919,0.967130011,0.965821986,0.944890812,0.995437299,0.968716699
21436,528,91,653,9177,0,141,9,20672,0.973020661,0.971933802,0.933570702,0.992796081,0.966100195,0.964282501,0.944718962,0.995617204,0.968206222
21507,516,83,627,9183,0,143,11,20637,0.973817519,0.972903284,0.936085627,0.992592949,0.967193953,0.965435202,0.945726056,0.995994208,0.969051822
21582,499,105,592,9097,0,146,8,20678,0.974386704,0.972775624,0.938899783,0.992607527,0.968094311,0.966935484,0.947209496,0.994947794,0.969697591
21540,523,102,620,8990,0,124,10,20798,0.973836492,0.971802391,0.935483871,0.993598318,0.966961527,0.966612816,0.944030243,0.995119617,0.968587559
21389,518,104,670,9104,0,138,12,20772,0.972641205,0.971741402,0.931450788,0.992830513,0.965340901,0.963598685,0.944986506,0.995018203,0.967867798
21625,526,94,603,9036,0,143,8,20672,0.973931356,0.972128568,0.937441643,0.992748403,0.967439538,0.966653256,0.944200627,0.99547337,0.968775751
21499,539,89,610,9143,0,141,15,20671,0.9735519,0.971618385,0.937455142,0.992509723,0.967194417,0.966247191,0.942868929,0.995712909,0.968276343
21387,554,95,631,9079,0,150,8,20803,0.972717096,0.970548194,0.935015448,0.992462192,0.966008611,0.964769036,0.941707292,0.99545411,0.967310146
21398,541,87,621,9077,0,136,10,20837,0.973532927,0.971488241,0.935966179,0.993041986,0.966832135,0.965831641,0.942771084,0.995842095,0.968148273
21290,567,79,628,9269,0,139,7,20728,0.973058607,0.970550693,0.936546428,0.993005653,0.966700925,0.965226459,0.941684446,0.996203201,0.967704702
21553,545,111,606,9106,0,136,7,20643,0.973343199,0.970462425,0.937602965,0.993120369,0.96706192,0.966718995,0.94284531,0.994651633,0.968071979
